% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 1, 1-2 = 0, 2-1 = -1, 2-2 = 1
% Controller 1: PI controller: proportional gain +17.1 dB, integrator crossover 482.9 Hz, input offset 0.000 0 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.1 Hz, integrator saturation +40.2 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-05-22 T 17:35:30 -0700
% Time (s), Probe A (V), Probe B (V)
1.1132620800e-01, 2.9996661359e+00, 4.5590003251e-01
1.1165952000e-01, 2.9998519808e+00, 4.5689667666e-01
1.1199283200e-01, 2.9996037577e+00, 4.5491312030e-01
1.1232614400e-01, 2.9996884139e+00, 4.5654574067e-01
1.1265945600e-01, 2.9997656831e+00, 4.5678898046e-01
1.1299276800e-01, 2.9995350479e+00, 4.5527918183e-01
1.1332608000e-01, 2.9997438742e+00, 4.5617797898e-01
1.1365939200e-01, 2.9995470076e+00, 4.5454811404e-01
1.1399270400e-01, 2.9996046958e+00, 4.5585547666e-01
1.1432601600e-01, 2.9987346840e+00, 4.4362905665e-01
1.1465932800e-01, 2.9986738301e+00, 4.3672893746e-01
1.1499264000e-01, 2.9986646844e+00, 4.3114022610e-01
1.1532595200e-01, 2.9992808450e+00, 4.2813276444e-01
1.1565926400e-01, 3.0024463041e+00, 4.5736592017e-01
1.1599257600e-01, 3.0015646844e+00, 4.7182458857e-01
1.1632588800e-01, 2.9996439753e+00, 4.6345207422e-01
1.1665920000e-01, 2.9995219157e+00, 4.6216786892e-01
1.1699251200e-01, 2.9997932374e+00, 4.6344034900e-01
1.1732582400e-01, 2.9990801092e+00, 4.5582211839e-01
1.1765913600e-01, 2.9992430898e+00, 4.5611964598e-01
1.1799244800e-01, 2.9995511115e+00, 4.5590525024e-01
1.1832576000e-01, 2.9995996539e+00, 4.5647873100e-01
1.1865907200e-01, 2.9998379105e+00, 4.5809001146e-01
1.1899238400e-01, 2.9997197202e+00, 4.5853627353e-01
1.1932569600e-01, 2.9998846941e+00, 4.6008881061e-01
1.1965900800e-01, 2.9997588825e+00, 4.5988291565e-01
1.1999232000e-01, 2.9998138738e+00, 4.6037648901e-01
1.2032563200e-01, 2.9994101743e+00, 4.5793940094e-01
1.2065894400e-01, 2.9998462354e+00, 4.6130278181e-01
1.2099225600e-01, 2.9995868734e+00, 4.5983507673e-01
1.2132556800e-01, 2.9998271233e+00, 4.6078652014e-01
1.2165888000e-01, 2.9997573582e+00, 4.6007796477e-01
1.2199219200e-01, 2.9995636575e+00, 4.5904503106e-01
1.2232550400e-01, 2.9996415130e+00, 4.6220920034e-01
1.2265881600e-01, 3.0000037052e+00, 4.6511459391e-01
1.2299212800e-01, 3.0000069882e+00, 4.6776302916e-01
1.2332544000e-01, 3.0000595172e+00, 4.7017678404e-01
1.2365875200e-01, 2.9995446626e+00, 4.6691089842e-01
1.2399206400e-01, 2.9966114803e+00, 4.3805124974e-01
1.2432537600e-01, 2.9981011701e+00, 4.2946533629e-01
1.2465868800e-01, 3.0006672357e+00, 4.4397670958e-01
1.2499200000e-01, 3.0008407690e+00, 4.5368900679e-01
1.2532531200e-01, 3.0002274225e+00, 4.5455831499e-01
1.2565862400e-01, 3.0001167363e+00, 4.5914387470e-01
1.2599193600e-01, 2.9999796685e+00, 4.6094258289e-01
1.2632524800e-01, 2.9998705066e+00, 4.6202704897e-01
1.2665856000e-01, 2.9992967913e+00, 4.5925544022e-01
1.2699187200e-01, 2.9995160531e+00, 4.5780063290e-01
1.2732518400e-01, 2.9997652141e+00, 4.5847881993e-01
1.2765849600e-01, 2.9993970420e+00, 4.5602531654e-01
1.2799180800e-01, 2.9995950811e+00, 4.5643054033e-01
1.2832512000e-01, 2.9996858343e+00, 4.5656889799e-01
1.2865843200e-01, 2.9995053831e+00, 4.5433113875e-01
1.2899174400e-01, 2.9997339077e+00, 4.5652199709e-01
1.2932505600e-01, 2.9996902899e+00, 4.5609297109e-01
1.2965836800e-01, 2.9996464376e+00, 4.5580910339e-01
1.2999168000e-01, 2.9997105745e+00, 4.5813738137e-01
1.3032499200e-01, 2.9992946808e+00, 4.5365635203e-01
1.3065830400e-01, 2.9992898735e+00, 4.5001736975e-01
1.3099161600e-01, 2.9992187013e+00, 4.4681937319e-01
1.3132492800e-01, 2.9987458230e+00, 4.3659046255e-01
1.3165824000e-01, 2.9985990232e+00, 4.2782210460e-01
1.3199155200e-01, 2.9992977294e+00, 4.2848405219e-01
1.3232486400e-01, 3.0026656831e+00, 4.5876303939e-01
1.3265817600e-01, 3.0017015178e+00, 4.7330466375e-01
1.3299148800e-01, 2.9992685335e+00, 4.6011812367e-01
1.3332480000e-01, 2.9999196353e+00, 4.6454926217e-01
1.3365811200e-01, 2.9988440804e+00, 4.5415139104e-01
1.3399142400e-01, 2.9993980973e+00, 4.5718388605e-01
1.3432473600e-01, 2.9998395520e+00, 4.5873401946e-01
1.3465804800e-01, 2.9998338067e+00, 4.5979075538e-01
